year,boro,uhf,sex,risk,hivdx,concurrent,linked30d,linked60d,linked3m,linked12m,newdx_ret,vls_6m,VLS_12m,AIDS_12m,AIDS_24m,Med_CD4,hivdx_rate,AIDSdx,PLWDHI,incare,Ret,VLtest,VLS,PLWDHI_rate,Deaths,Death_rate
2004sep,Brooklyn,Greenpoint,Male,Injection drug use history (IDU),0,.,.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,.,.,5,13.2
2004sep,Brooklyn,Greenpoint,Male,MSM-IDU,1,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,0,0
2004sep,Brooklyn,Greenpoint,Male,Men who have sex with men (MSM),20,.,.,.,.,.,.,.,.,.,.,.,.,15,.,.,.,.,.,.,2,2.7
2004sep,Brooklyn,Greenpoint,Male,Other,0,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,0,0
2004sep,Brooklyn,Greenpoint,Male,Unknown,6,.,.,.,.,.,.,.,.,.,.,.,.,8,.,.,.,.,.,.,3,53.6
2004sep,Brooklyn,Sunset Park,All,All,30,.,.,.,.,.,.,.,.,.,.,.,.,39,.,.,.,.,.,.,17,22.4
2004sep,Brooklyn,Sunset Park,Female,All,7,.,.,.,.,.,.,.,.,.,.,.,.,11,.,.,.,.,.,.,6,25.2
2004sep,Brooklyn,Sunset Park,Female,Heterosexual,2,.,.,.,.,.,.,.,.,.,.,.,.,6,.,.,.,.,.,.,2,8.3
2004sep,Brooklyn,Sunset Park,Female,Injection drug use history (IDU),1,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,4,18
2004sep,Brooklyn,Sunset Park,Female,Other,0,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,0,0
2004sep,Brooklyn,Sunset Park,Female,Unknown,4,.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,.,.,0,0
2004sep,Brooklyn,Sunset Park,Male,All,23,.,.,.,.,.,.,.,.,.,.,.,.,28,.,.,.,.,.,.,11,20.8
2004sep,Brooklyn,Sunset Park,Male,Heterosexual,2,.,.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,.,.,1,34.4
2004sep,Brooklyn,Sunset Park,Male,Injection drug use history (IDU),4,.,.,.,.,.,.,.,.,.,.,.,.,8,.,.,.,.,.,.,5,29.4
2004sep,Brooklyn,Sunset Park,Male,MSM-IDU,2,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,1,31.1
2004sep,Brooklyn,Sunset Park,Male,Men who have sex with men (MSM),8,.,.,.,.,.,.,.,.,.,.,.,.,6,.,.,.,.,.,.,2,5.3
2004sep,Brooklyn,Sunset Park,Male,Other,0,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,0,0
2004sep,Brooklyn,Sunset Park,Male,Unknown,7,.,.,.,.,.,.,.,.,.,.,.,.,7,.,.,.,.,.,.,2,15.6
2004sep,Brooklyn,Williamsburg - Bushwick,All,All,119,.,.,.,.,.,.,.,.,.,.,.,.,159,.,.,.,.,.,.,98,30.8
2004sep,Brooklyn,Williamsburg - Bushwick,Female,All,35,.,.,.,.,.,.,.,.,.,.,.,.,58,.,.,.,.,.,.,39,27.7
2004sep,Brooklyn,Williamsburg - Bushwick,Female,Heterosexual,17,.,.,.,.,.,.,.,.,.,.,.,.,27,.,.,.,.,.,.,10,19.2
2004sep,Brooklyn,Williamsburg - Bushwick,Female,Injection drug use history (IDU),7,.,.,.,.,.,.,.,.,.,.,.,.,13,.,.,.,.,.,.,14,36.6
2004sep,Brooklyn,Williamsburg - Bushwick,Female,Other,0,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,0,0
2004sep,Brooklyn,Williamsburg - Bushwick,Female,Unknown,11,.,.,.,.,.,.,.,.,.,.,.,.,17,.,.,.,.,.,.,15,34
2004sep,Brooklyn,Williamsburg - Bushwick,Male,All,84,.,.,.,.,.,.,.,.,.,.,.,.,101,.,.,.,.,.,.,59,34.5
2004sep,Brooklyn,Williamsburg - Bushwick,Male,Heterosexual,7,.,.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,.,.,3,10.8
2004sep,Brooklyn,Williamsburg - Bushwick,Male,Injection drug use history (IDU),6,.,.,.,.,.,.,.,.,.,.,.,.,27,.,.,.,.,.,.,32,38.3
2004sep,Brooklyn,Williamsburg - Bushwick,Male,MSM-IDU,0,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,2,9.2
2004sep,Brooklyn,Williamsburg - Bushwick,Male,Men who have sex with men (MSM),39,.,.,.,.,.,.,.,.,.,.,.,.,25,.,.,.,.,.,.,5,5.8
2004sep,Brooklyn,Williamsburg - Bushwick,Male,Other,0,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,0,0
2004sep,Brooklyn,Williamsburg - Bushwick,Male,Unknown,32,.,.,.,.,.,.,.,.,.,.,.,.,41,.,.,.,.,.,.,15,27.2
2004sep,Manhattan,All,All,All,1202,.,.,.,.,.,.,.,.,.,.,.,.,1225,.,.,.,.,.,.,588,18.4
2004sep,Manhattan,All,Female,All,230,.,.,.,.,.,.,.,.,.,.,.,.,261,.,.,.,.,.,.,164,24.5
2004sep,Manhattan,All,Female,Heterosexual,100,.,.,.,.,.,.,.,.,.,.,.,.,98,.,.,.,.,.,.,41,15
2004sep,Manhattan,All,Female,Injection drug use history (IDU),38,.,.,.,.,.,.,.,.,.,.,.,.,80,.,.,.,.,.,.,85,32
2004sep,Manhattan,All,Female,Other,0,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,1,18.6
2004sep,Manhattan,All,Female,Unknown,92,.,.,.,.,.,.,.,.,.,.,.,.,79,.,.,.,.,.,.,37,31.1
2004sep,Manhattan,All,Male,All,972,.,.,.,.,.,.,.,.,.,.,.,.,964,.,.,.,.,.,.,424,16.9
2004sep,Manhattan,All,Male,Heterosexual,63,.,.,.,.,.,.,.,.,.,.,.,.,76,.,.,.,.,.,.,23,20.6
2004sep,Manhattan,All,Male,Injection drug use history (IDU),58,.,.,.,.,.,.,.,.,.,.,.,.,111,.,.,.,.,.,.,153,29.9
2004sep,Manhattan,All,Male,MSM-IDU,23,.,.,.,.,.,.,.,.,.,.,.,.,47,.,.,.,.,.,.,18,17.5
2004sep,Manhattan,All,Male,Men who have sex with men (MSM),641,.,.,.,.,.,.,.,.,.,.,.,.,496,.,.,.,.,.,.,127,10.9
2004sep,Manhattan,All,Male,Other,0,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,1,17.8
2004sep,Manhattan,All,Male,Unknown,187,.,.,.,.,.,.,.,.,.,.,.,.,229,.,.,.,.,.,.,102,20.7
2004sep,Manhattan,Central Harlem - Morningside Heights,All,All,210,.,.,.,.,.,.,.,.,.,.,.,.,221,.,.,.,.,.,.,128,29.8
2004sep,Manhattan,Central Harlem - Morningside Heights,Female,All,65,.,.,.,.,.,.,.,.,.,.,.,.,85,.,.,.,.,.,.,44,23.9
2004sep,Manhattan,Central Harlem - Morningside Heights,Female,Heterosexual,30,.,.,.,.,.,.,.,.,.,.,.,.,29,.,.,.,.,.,.,13,18.1
2004sep,Manhattan,Central Harlem - Morningside Heights,Female,Injection drug use history (IDU),9,.,.,.,.,.,.,.,.,.,.,.,.,31,.,.,.,.,.,.,23,32
2004sep,Manhattan,Central Harlem - Morningside Heights,Female,Other,0,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,0,0
2004sep,Manhattan,Central Harlem - Morningside Heights,Female,Unknown,26,.,.,.,.,.,.,.,.,.,.,.,.,23,.,.,.,.,.,.,8,20.2
2004sep,Manhattan,Central Harlem - Morningside Heights,Male,All,145,.,.,.,.,.,.,.,.,.,.,.,.,136,.,.,.,.,.,.,84,31.7
2004sep,Manhattan,Central Harlem - Morningside Heights,Male,Heterosexual,10,.,.,.,.,.,.,.,.,.,.,.,.,20,.,.,.,.,.,.,5,28
2004sep,Manhattan,Central Harlem - Morningside Heights,Male,Injection drug use history (IDU),8,.,.,.,.,.,.,.,.,.,.,.,.,18,.,.,.,.,.,.,33,29.7
2004sep,Manhattan,Central Harlem - Morningside Heights,Male,MSM-IDU,2,.,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,.,.,1,6.6
2004sep,Manhattan,Central Harlem - Morningside Heights,Male,Men who have sex with men (MSM),79,.,.,.,.,.,.,.,.,.,.,.,.,47,.,.,.,.,.,.,13,19.9
2004sep,Manhattan,Central Harlem - Morningside Heights,Male,Other,0,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,0,0
2004sep,Manhattan,Central Harlem - Morningside Heights,Male,Unknown,46,.,.,.,.,.,.,.,.,.,.,.,.,46,.,.,.,.,.,.,32,51.8
2004sep,Manhattan,Chelsea - Clinton,All,All,212,.,.,.,.,.,.,.,.,.,.,.,.,201,.,.,.,.,.,.,68,11
2004sep,Manhattan,Chelsea - Clinton,Female,All,19,.,.,.,.,.,.,.,.,.,.,.,.,21,.,.,.,.,.,.,13,20.9
2004sep,Manhattan,Chelsea - Clinton,Female,Heterosexual,4,.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,.,.,4,21.1
2004sep,Manhattan,Chelsea - Clinton,Female,Injection drug use history (IDU),8,.,.,.,.,.,.,.,.,.,.,.,.,11,.,.,.,.,.,.,8,14.6
2004sep,Manhattan,Chelsea - Clinton,Female,Other,0,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,0,0
2004sep,Manhattan,Chelsea - Clinton,Female,Unknown,7,.,.,.,.,.,.,.,.,.,.,.,.,7,.,.,.,.,.,.,1,12.3
2004sep,Manhattan,Chelsea - Clinton,Male,All,193,.,.,.,.,.,.,.,.,.,.,.,.,180,.,.,.,.,.,.,55,9.8
2004sep,Manhattan,Chelsea - Clinton,Male,Heterosexual,6,.,.,.,.,.,.,.,.,.,.,.,.,6,.,.,.,.,.,.,3,13.4
2004sep,Manhattan,Chelsea - Clinton,Male,Injection drug use history (IDU),7,.,.,.,.,.,.,.,.,.,.,.,.,13,.,.,.,.,.,.,10,7.9
2004sep,Manhattan,Chelsea - Clinton,Male,MSM-IDU,1,.,.,.,.,.,.,.,.,.,.,.,.,6,.,.,.,.,.,.,5,53.2
2004sep,Manhattan,Chelsea - Clinton,Male,Men who have sex with men (MSM),165,.,.,.,.,.,.,.,.,.,.,.,.,128,.,.,.,.,.,.,29,8.2
2004sep,Manhattan,Chelsea - Clinton,Male,Other,0,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,0,0
2004sep,Manhattan,Chelsea - Clinton,Male,Unknown,14,.,.,.,.,.,.,.,.,.,.,.,.,27,.,.,.,.,.,.,8,12.8
2004sep,Manhattan,East Harlem,All,All,151,.,.,.,.,.,.,.,.,.,.,.,.,144,.,.,.,.,.,.,90,29.8
2004sep,Manhattan,East Harlem,Female,All,46,.,.,.,.,.,.,.,.,.,.,.,.,48,.,.,.,.,.,.,33,36.8
2004sep,Manhattan,East Harlem,Female,Heterosexual,28,.,.,.,.,.,.,.,.,.,.,.,.,23,.,.,.,.,.,.,7,24.3
2004sep,Manhattan,East Harlem,Female,Injection drug use history (IDU),3,.,.,.,.,.,.,.,.,.,.,.,.,7,.,.,.,.,.,.,16,42.4
2004sep,Manhattan,East Harlem,Female,Other,0,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,0,0
2004sep,Manhattan,East Harlem,Female,Unknown,15,.,.,.,.,.,.,.,.,.,.,.,.,16,.,.,.,.,.,.,10,59
2004sep,Manhattan,East Harlem,Male,All,105,.,.,.,.,.,.,.,.,.,.,.,.,96,.,.,.,.,.,.,57,26.7
2004sep,Manhattan,East Harlem,Male,Heterosexual,19,.,.,.,.,.,.,.,.,.,.,.,.,11,.,.,.,.,.,.,5,30.9
2004sep,Manhattan,East Harlem,Male,Injection drug use history (IDU),14,.,.,.,.,.,.,.,.,.,.,.,.,24,.,.,.,.,.,.,29,29.2
2004sep,Manhattan,East Harlem,Male,MSM-IDU,4,.,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,.,.,2,10.2
2004sep,Manhattan,East Harlem,Male,Men who have sex with men (MSM),42,.,.,.,.,.,.,.,.,.,.,.,.,27,.,.,.,.,.,.,6,12.3
2004sep,Manhattan,East Harlem,Male,Other,0,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,0,0
2004sep,Manhattan,East Harlem,Male,Unknown,26,.,.,.,.,.,.,.,.,.,.,.,.,30,.,.,.,.,.,.,15,29.1
2004sep,Manhattan,Gramercy Park - Murray Hill,All,All,77,.,.,.,.,.,.,.,.,.,.,.,.,90,.,.,.,.,.,.,43,17.2
2004sep,Manhattan,Gramercy Park - Murray Hill,Female,All,7,.,.,.,.,.,.,.,.,.,.,.,.,11,.,.,.,.,.,.,4,7.7
2004sep,Manhattan,Gramercy Park - Murray Hill,Female,Heterosexual,4,.,.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,.,.,2,10.2
2004sep,Manhattan,Gramercy Park - Murray Hill,Female,Injection drug use history (IDU),1,.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,.,.,2,9.3
2004sep,Manhattan,Gramercy Park - Murray Hill,Female,Other,0,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,0,0
2004sep,Manhattan,Gramercy Park - Murray Hill,Female,Unknown,2,.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,.,.,0,0
2004sep,Manhattan,Gramercy Park - Murray Hill,Male,All,70,.,.,.,.,.,.,.,.,.,.,.,.,79,.,.,.,.,.,.,39,18
2004sep,Manhattan,Gramercy Park - Murray Hill,Male,Heterosexual,4,.,.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,.,.,0,0
2004sep,Manhattan,Gramercy Park - Murray Hill,Male,Injection drug use history (IDU),5,.,.,.,.,.,.,.,.,.,.,.,.,7,.,.,.,.,.,.,11,18.7
2004sep,Manhattan,Gramercy Park - Murray Hill,Male,MSM-IDU,4,.,.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,.,.,3,22.3
2004sep,Manhattan,Gramercy Park - Murray Hill,Male,Men who have sex with men (MSM),47,.,.,.,.,.,.,.,.,.,.,.,.,45,.,.,.,.,.,.,20,17.1
2004sep,Manhattan,Gramercy Park - Murray Hill,Male,Other,0,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,0,0
2004sep,Manhattan,Gramercy Park - Murray Hill,Male,Unknown,10,.,.,.,.,.,.,.,.,.,.,.,.,17,.,.,.,.,.,.,5,19
2004sep,Manhattan,Greenwich Village - Soho,All,All,66,.,.,.,.,.,.,.,.,.,.,.,.,76,.,.,.,.,.,.,13,5.5
2004sep,Manhattan,Greenwich Village - Soho,Female,All,3,.,.,.,.,.,.,.,.,.,.,.,.,6,.,.,.,.,.,.,3,23.3
2004sep,Manhattan,Greenwich Village - Soho,Female,Heterosexual,0,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,1,9.9
2004sep,Manhattan,Greenwich Village - Soho,Female,Injection drug use history (IDU),2,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,1,20.7
2004sep,Manhattan,Greenwich Village - Soho,Female,Other,0,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,0,0
2004sep,Manhattan,Greenwich Village - Soho,Female,Unknown,1,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,1,62.2
2004sep,Manhattan,Greenwich Village - Soho,Male,All,63,.,.,.,.,.,.,.,.,.,.,.,.,70,.,.,.,.,.,.,10,4.8
2004sep,Manhattan,Greenwich Village - Soho,Male,Heterosexual,3,.,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,.,.,1,12.4
2004sep,Manhattan,Greenwich Village - Soho,Male,Injection drug use history (IDU),0,.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,.,.,3,26.1
2004sep,Manhattan,Greenwich Village - Soho,Male,MSM-IDU,2,.,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,.,.,0,0
2004sep,Manhattan,Greenwich Village - Soho,Male,Men who have sex with men (MSM),48,.,.,.,.,.,.,.,.,.,.,.,.,49,.,.,.,.,.,.,5,3.3
2004sep,Manhattan,Greenwich Village - Soho,Male,Other,0,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,0,0
2004sep,Manhattan,Greenwich Village - Soho,Male,Unknown,10,.,.,.,.,.,.,.,.,.,.,.,.,10,.,.,.,.,.,.,1,1.4
2004sep,Manhattan,Lower Manhattan,All,All,22,.,.,.,.,.,.,.,.,.,.,.,.,20,.,.,.,.,.,.,5,20.8
2004sep,Manhattan,Lower Manhattan,Female,All,3,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,2,10.6
2004sep,Manhattan,Lower Manhattan,Female,Heterosexual,1,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,1,21.2
2004sep,Manhattan,Lower Manhattan,Female,Injection drug use history (IDU),1,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,1,11.4
2004sep,Manhattan,Lower Manhattan,Female,Other,0,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,0,0
2004sep,Manhattan,Lower Manhattan,Female,Unknown,1,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,0,0
2004sep,Manhattan,Lower Manhattan,Male,All,19,.,.,.,.,.,.,.,.,.,.,.,.,18,.,.,.,.,.,.,3,20.9
2004sep,Manhattan,Lower Manhattan,Male,Heterosexual,0,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,0,0
2004sep,Manhattan,Lower Manhattan,Male,Injection drug use history (IDU),2,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,2,19.9
2004sep,Manhattan,Lower Manhattan,Male,MSM-IDU,0,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,0,0
2004sep,Manhattan,Lower Manhattan,Male,Men who have sex with men (MSM),17,.,.,.,.,.,.,.,.,.,.,.,.,14,.,.,.,.,.,.,1,28.7
2004sep,Manhattan,Lower Manhattan,Male,Other,0,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,0,0
2004sep,Manhattan,Lower Manhattan,Male,Unknown,0,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,0,0
2004sep,Manhattan,Union Square - Lower East Side,All,All,101,.,.,.,.,.,.,.,.,.,.,.,.,118,.,.,.,.,.,.,87,24.4
2004sep,Manhattan,Union Square - Lower East Side,Female,All,15,.,.,.,.,.,.,.,.,.,.,.,.,16,.,.,.,.,.,.,23,28.5
2004sep,Manhattan,Union Square - Lower East Side,Female,Heterosexual,5,.,.,.,.,.,.,.,.,.,.,.,.,6,.,.,.,.,.,.,3,4.6
2004sep,Manhattan,Union Square - Lower East Side,Female,Injection drug use history (IDU),5,.,.,.,.,.,.,.,.,.,.,.,.,8,.,.,.,.,.,.,18,92.4
2004sep,Manhattan,Union Square - Lower East Side,Female,Other,0,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,0,0
2004sep,Manhattan,Union Square - Lower East Side,Female,Unknown,5,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,2,22.4
2004sep,Manhattan,Union Square - Lower East Side,Male,All,86,.,.,.,.,.,.,.,.,.,.,.,.,102,.,.,.,.,.,.,64,22.8
2004sep,Manhattan,Union Square - Lower East Side,Male,Heterosexual,2,.,.,.,.,.,.,.,.,.,.,.,.,6,.,.,.,.,.,.,5,40.9
2004sep,Manhattan,Union Square - Lower East Side,Male,Injection drug use history (IDU),1,.,.,.,.,.,.,.,.,.,.,.,.,11,.,.,.,.,.,.,27,47.1
2004sep,Manhattan,Union Square - Lower East Side,Male,MSM-IDU,4,.,.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,.,.,5,36.6
2004sep,Manhattan,Union Square - Lower East Side,Male,Men who have sex with men (MSM),73,.,.,.,.,.,.,.,.,.,.,.,.,63,.,.,.,.,.,.,19,10.7
2004sep,Manhattan,Union Square - Lower East Side,Male,Other,0,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,0,0
2004sep,Manhattan,Union Square - Lower East Side,Male,Unknown,6,.,.,.,.,.,.,.,.,.,.,.,.,16,.,.,.,.,.,.,8,18.2
2004sep,Manhattan,Upper East Side,All,All,45,.,.,.,.,.,.,.,.,.,.,.,.,63,.,.,.,.,.,.,19,11.1
2004sep,Manhattan,Upper East Side,Female,All,7,.,.,.,.,.,.,.,.,.,.,.,.,6,.,.,.,.,.,.,5,24.6
2004sep,Manhattan,Upper East Side,Female,Heterosexual,5,.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,.,.,0,0
2004sep,Manhattan,Upper East Side,Female,Injection drug use history (IDU),1,.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,.,.,2,6.8
2004sep,Manhattan,Upper East Side,Female,Other,0,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,0,0
2004sep,Manhattan,Upper East Side,Female,Unknown,1,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,3,51.3
2004sep,Manhattan,Upper East Side,Male,All,38,.,.,.,.,.,.,.,.,.,.,.,.,57,.,.,.,.,.,.,14,9.6
2004sep,Manhattan,Upper East Side,Male,Heterosexual,1,.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,.,.,0,0
2004sep,Manhattan,Upper East Side,Male,Injection drug use history (IDU),2,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,1,2.9
2004sep,Manhattan,Upper East Side,Male,MSM-IDU,1,.,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,.,.,0,0
2004sep,Manhattan,Upper East Side,Male,Men who have sex with men (MSM),28,.,.,.,.,.,.,.,.,.,.,.,.,33,.,.,.,.,.,.,8,9.3
2004sep,Manhattan,Upper East Side,Male,Other,0,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,1,124.4
2004sep,Manhattan,Upper East Side,Male,Unknown,6,.,.,.,.,.,.,.,.,.,.,.,.,14,.,.,.,.,.,.,4,15.9
2004sep,Manhattan,Upper West Side,All,All,93,.,.,.,.,.,.,.,.,.,.,.,.,113,.,.,.,.,.,.,62,17.3
2004sep,Manhattan,Upper West Side,Female,All,13,.,.,.,.,.,.,.,.,.,.,.,.,24,.,.,.,.,.,.,13,18.7
2004sep,Manhattan,Upper West Side,Female,Heterosexual,5,.,.,.,.,.,.,.,.,.,.,.,.,12,.,.,.,.,.,.,3,7.2
2004sep,Manhattan,Upper West Side,Female,Injection drug use history (IDU),3,.,.,.,.,.,.,.,.,.,.,.,.,6,.,.,.,.,.,.,5,13.4
2004sep,Manhattan,Upper West Side,Female,Other,0,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,0,0
2004sep,Manhattan,Upper West Side,Female,Unknown,5,.,.,.,.,.,.,.,.,.,.,.,.,6,.,.,.,.,.,.,5,73.4
2004sep,Manhattan,Upper West Side,Male,All,80,.,.,.,.,.,.,.,.,.,.,.,.,89,.,.,.,.,.,.,49,16.7
2004sep,Manhattan,Upper West Side,Male,Heterosexual,4,.,.,.,.,.,.,.,.,.,.,.,.,7,.,.,.,.,.,.,4,43.2
2004sep,Manhattan,Upper West Side,Male,Injection drug use history (IDU),6,.,.,.,.,.,.,.,.,.,.,.,.,9,.,.,.,.,.,.,17,25.5
2004sep,Manhattan,Upper West Side,Male,MSM-IDU,1,.,.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,.,.,1,3.6
2004sep,Manhattan,Upper West Side,Male,Men who have sex with men (MSM),51,.,.,.,.,.,.,.,.,.,.,.,.,43,.,.,.,.,.,.,13,13.4
2004sep,Manhattan,Upper West Side,Male,Other,0,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,0,0
2004sep,Manhattan,Upper West Side,Male,Unknown,18,.,.,.,.,.,.,.,.,.,.,.,.,25,.,.,.,.,.,.,14,17.4
2004sep,Manhattan,Washington Heights - Inwood,All,All,170,.,.,.,.,.,.,.,.,.,.,.,.,136,.,.,.,.,.,.,63,17
2004sep,Manhattan,Washington Heights - Inwood,Female,All,42,.,.,.,.,.,.,.,.,.,.,.,.,38,.,.,.,.,.,.,23,27.1
2004sep,Manhattan,Washington Heights - Inwood,Female,Heterosexual,14,.,.,.,.,.,.,.,.,.,.,.,.,14,.,.,.,.,.,.,6,15.1
2004sep,Manhattan,Washington Heights - Inwood,Female,Injection drug use history (IDU),5,.,.,.,.,.,.,.,.,.,.,.,.,8,.,.,.,.,.,.,9,23.4
2004sep,Manhattan,Washington Heights - Inwood,Female,Other,0,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,1,148.6
2004sep,Manhattan,Washington Heights - Inwood,Female,Unknown,23,.,.,.,.,.,.,.,.,.,.,.,.,16,.,.,.,.,.,.,7,42.7
2004sep,Manhattan,Washington Heights - Inwood,Male,All,128,.,.,.,.,.,.,.,.,.,.,.,.,98,.,.,.,.,.,.,40,14.4
2004sep,Manhattan,Washington Heights - Inwood,Male,Heterosexual,12,.,.,.,.,.,.,.,.,.,.,.,.,12,.,.,.,.,.,.,0,0
2004sep,Manhattan,Washington Heights - Inwood,Male,Injection drug use history (IDU),8,.,.,.,.,.,.,.,.,.,.,.,.,18,.,.,.,.,.,.,15,55.7
2004sep,Manhattan,Washington Heights - Inwood,Male,MSM-IDU,2,.,.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,.,.,1,5.9
2004sep,Manhattan,Washington Heights - Inwood,Male,Men who have sex with men (MSM),64,.,.,.,.,.,.,.,.,.,.,.,.,33,.,.,.,.,.,.,12,10.7
2004sep,Manhattan,Washington Heights - Inwood,Male,Other,0,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,0,0
2004sep,Manhattan,Washington Heights - Inwood,Male,Unknown,42,.,.,.,.,.,.,.,.,.,.,.,.,28,.,.,.,.,.,.,12,12.1
2004sep,Queens,All,All,All,682,.,.,.,.,.,.,.,.,.,.,.,.,617,.,.,.,.,.,.,247,20.8
2004sep,Queens,All,Female,All,206,.,.,.,.,.,.,.,.,.,.,.,.,191,.,.,.,.,.,.,72,20
2004sep,Queens,All,Female,Heterosexual,118,.,.,.,.,.,.,.,.,.,.,.,.,91,.,.,.,.,.,.,21,9.6
2004sep,Queens,All,Female,Injection drug use history (IDU),17,.,.,.,.,.,.,.,.,.,.,.,.,28,.,.,.,.,.,.,29,51.7
2004sep,Queens,All,Female,Other,0,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,0,0
2004sep,Queens,All,Female,Unknown,71,.,.,.,.,.,.,.,.,.,.,.,.,67,.,.,.,.,.,.,21,23.3
2004sep,Queens,All,Male,All,476,.,.,.,.,.,.,.,.,.,.,.,.,426,.,.,.,.,.,.,175,21.3
2004sep,Queens,All,Male,Heterosexual,56,.,.,.,.,.,.,.,.,.,.,.,.,46,.,.,.,.,.,.,15,11.8
2004sep,Queens,All,Male,Injection drug use history (IDU),34,.,.,.,.,.,.,.,.,.,.,.,.,58,.,.,.,.,.,.,57,26.1
2004sep,Queens,All,Male,MSM-IDU,11,.,.,.,.,.,.,.,.,.,.,.,.,15,.,.,.,.,.,.,7,27.3
